Statistik från Skolverket, https://www.skolverket.se

Grundskola - Resultat nationella prov årskurs 9, provbetyg per kön - Engelska, Matematik och Svenska/svenska som andraspråk
Valt läsår: 2017/18
 
Under vårterminen 2018 fanns indikationer på att vissa av de nationella delproven i årskurs 9 hade varit åtkomliga på förhand.
Skolverket rekommenderade då att skolan skulle använda ersättningsprov om man fick kännedom om att provet eller delar av provet
blivit känt bland eleverna på skolan. Resultaten från ersättningsprov samlas inte in. Istället gavs instruktionen vid insamling
av resultaten att ange att "eleven ej deltagit", vilket syftar på att ordinarie prov inte använts.
För provbetyget i matematik är den totala andelen elever som har rapporterats in som "eleven ej deltagit" så stor (närmare 76 procent)
att resultaten inte kan publiceras med den kvalitet som gäller för officiell statistik enligt 3 a § lagen (2001:99) om den officiella statistiken.

;;;;;;Andel (%) elever som deltagit;Andel (%) elever som deltagit;Andel (%) elever som deltagit;Antal elever med provbetyg A-F;Antal elever med provbetyg A-F;Antal elever med provbetyg A-F;Andel (%) med provbetyg A-E;Andel (%) med provbetyg A-E;Andel (%) med provbetyg A-E;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Ämne;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;
Borgholm;0885;Kalmar län;08;Samtliga;Svenska;100,0;100,0;100,0;71;28;43;~100;100,0;~100;15,3;17,1;14,1;
Borgholm;0885;Kalmar län;08;Kommunal;Svenska som andraspråk;94,1;..;90,9;16;..;..;68,8;..;..;8,0;..;8,0;
Borgholm;0885;Kalmar län;08;Kommunal;Svenska;100,0;100,0;100,0;71;28;43;~100;100,0;~100;15,3;17,1;14,1;
Borgholm;0885;Kalmar län;08;Kommunal;Engelska;98,9;100,0;98,1;87;34;53;90,8;~100;~100;13,2;12,9;13,4;
Borlänge;2081;Dalarnas län;20;Samtliga;Svenska;92,4;93,4;91,4;463;239;224;95,2;95,4;95,1;13,7;14,1;13,2;
Borlänge;2081;Dalarnas län;20;Samtliga;Engelska;44,9;46,8;43,0;286;148;138;93,0;91,2;94,9;14,7;14,2;15,2;
Borlänge;2081;Dalarnas län;20;Samtliga;Svenska som andraspråk;86,8;83,3;89,5;118;50;68;61,9;76,0;51,5;7,0;9,0;5,5;
Borlänge;2081;Dalarnas län;20;Kommunal;Svenska som andraspråk;87,1;84,2;89,3;115;48;67;61,7;77,1;50,7;7,0;9,1;5,4;
Borlänge;2081;Dalarnas län;20;Kommunal;Engelska;37,5;39,4;35,6;206;106;100;90,3;87,7;93,0;14,0;13,5;14,5;
Borlänge;2081;Dalarnas län;20;Kommunal;Svenska;92,3;93,9;90,8;386;199;187;94,8;94,5;95,2;13,5;14,0;13,0;
Borlänge;2081;Dalarnas län;20;Enskild;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Borlänge;2081;Dalarnas län;20;Enskild;Engelska;92,0;89,4;95,0;80;42;38;100,0;100,0;100,0;16,5;15,8;17,2;
Borlänge;2081;Dalarnas län;20;Enskild;Svenska;92,8;90,9;94,9;77;40;37;~100;100,0;~100;14,4;14,8;13,9;
Borås;1490;Västra Götalands län;14;Samtliga;Svenska;71,1;74,2;68,1;761;396;365;97,5;98,5;96,4;13,8;14,4;13,0;
Borås;1490;Västra Götalands län;14;Samtliga;Engelska;83,1;84,4;82,0;1 046;507;539;96,0;96,8;95,2;15,2;15,3;15,0;
Borås;1490;Västra Götalands län;14;Samtliga;Svenska som andraspråk;45,2;50,7;42,1;85;34;51;42,4;50,0;37,3;4,9;6,0;4,1;
Borås;1490;Västra Götalands län;14;Kommunal;Svenska;71,1;75,9;66,6;609;318;291;97,0;98,1;95,9;13,5;14,2;12,7;
Borås;1490;Västra Götalands län;14;Kommunal;Engelska;80,4;81,5;79,5;825;391;434;95,3;95,9;94,7;14,8;14,9;14,7;
Borås;1490;Västra Götalands län;14;Kommunal;Svenska som andraspråk;45,3;52,5;41,3;77;32;45;40,3;46,9;35,6;4,5;5,5;3,8;
Borås;1490;Västra Götalands län;14;Enskild;Engelska;95,3;95,9;94,6;221;116;105;~100;100,0;~100;16,8;17,0;16,6;
Borås;1490;Västra Götalands län;14;Enskild;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Borås;1490;Västra Götalands län;14;Enskild;Svenska;71,0;67,8;74,7;152;78;74;~100;100,0;~100;14,8;15,3;14,3;
Botkyrka;0127;Stockholms län;01;Samtliga;Engelska;63,5;64,8;62,3;598;291;307;94,3;94,8;93,8;14,1;14,2;14,0;
Botkyrka;0127;Stockholms län;01;Samtliga;Svenska;68,0;70,1;65,9;399;209;190;96,0;~100;..;13,4;14,3;12,5;
Botkyrka;0127;Stockholms län;01;Samtliga;Svenska som andraspråk;74,9;80,1;70,9;265;121;144;81,1;84,3;78,5;10,3;11,0;9,8;
Botkyrka;0127;Stockholms län;01;Kommunal;Svenska som andraspråk;75,9;81,1;71,9;249;116;133;80,3;83,6;77,4;10,1;10,7;9,5;
Botkyrka;0127;Stockholms län;01;Kommunal;Engelska;60,0;62,1;58,3;487;234;253;93,8;94,0;93,7;13,9;13,8;14,0;
